wrong,updated,animal,shank
48,51,3xTg75-1,shank5
49,52,3xTg75-1,shank5
50,53,3xTg75-1,shank5
51,54,3xTg75-1,shank5
52,55,3xTg75-1,shank5
53,57,3xTg75-1,shank5
54,58,3xTg75-1,shank5
55,59,3xTg75-1,shank5
56,60,3xTg75-1,shank5
57,61,3xTg75-1,shank5
58,64,3xTg75-1,shank5
1,1,3xTg75-1,shank6
2,2,3xTg75-1,shank6
3,3,3xTg75-1,shank6
4,4,3xTg75-1,shank6
5,5,3xTg75-1,shank6
6,6,3xTg75-1,shank6
7,7,3xTg75-1,shank6
8,8,3xTg75-1,shank6
9,9,3xTg75-1,shank6
10,10,3xTg75-1,shank6
11,11,3xTg75-1,shank6
12,12,3xTg75-1,shank6
13,13,3xTg75-1,shank6
14,14,3xTg75-1,shank6
15,15,3xTg75-1,shank6
16,16,3xTg75-1,shank6
17,17,3xTg75-1,shank6
18,18,3xTg75-1,shank6
19,19,3xTg75-1,shank6
20,20,3xTg75-1,shank6
21,21,3xTg75-1,shank6
22,22,3xTg75-1,shank6
23,23,3xTg75-1,shank6
24,24,3xTg75-1,shank6
25,25,3xTg75-1,shank6
26,26,3xTg75-1,shank6
27,27,3xTg75-1,shank6
28,28,3xTg75-1,shank6
29,29,3xTg75-1,shank6
30,30,3xTg75-1,shank6
31,31,3xTg75-1,shank6
32,32,3xTg75-1,shank6
33,33,3xTg75-1,shank6
34,34,3xTg75-1,shank6
35,35,3xTg75-1,shank6
36,36,3xTg75-1,shank6
37,37,3xTg75-1,shank6
38,38,3xTg75-1,shank6
39,39,3xTg75-1,shank6
40,40,3xTg75-1,shank6
41,41,3xTg75-1,shank6
42,42,3xTg75-1,shank6
43,43,3xTg75-1,shank6
44,44,3xTg75-1,shank6
45,45,3xTg75-1,shank6
46,46,3xTg75-1,shank6
47,47,3xTg75-1,shank6
48,48,3xTg75-1,shank6
49,49,3xTg75-1,shank6
50,50,3xTg75-1,shank6
